OEM_KODU,MARKA,KATEGORI,PARCA_ADI,UYUMLU_MODELLER,MUADIL_REFERANSLAR,DEGISIM_ARALIGI,TEKNIK_OZELLIKLER
838929,"Volvo Penta","Tutya & Anotlar","Volvo Penta TAMD / KAD Isı Eşanjörü Çinko Tutya Anot Kalemi","Volvo Penta TAMD31, 41, 61, 62, 63, 71, 74, 122, KAD42, 43, 44, 300","Tecnoseal 00702, Martyr CM838929Z","100 Saat / 6 Ayda Bir Kontrol","3/8"" NPT Pirinç Tapalı Değiştirilebilir Çinko Çubuk (Tuzlu Su Koruması)"
854031,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta 280 / 290 / DP Kuyruk Egzoz Körüğü","Volvo Penta 280, 290, SP-A, DP-A..E Kuyruk Sistemleri","Sierra 18-2758, Orbitrade 15031, Mallory 9-72701","2 Yılda 1 Değişim","Geri Akış Flaplı Ağır Hizmet Marin Kauçuk Körük, Kelepçeler Dahil"
854409,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta 280 / 290 Egzoz Flap Valfi (Exhaust Water Shutter)","Volvo Penta 280, 290, SP, DP Kuyruk Sistemleri","Sierra 18-2727, GLM 89130, Mallory 9-72800","Her Kuyruk Bakımında / 2 Yılda 1","Geri Dönen Su Darbesini Önleyen Paslanmaz Pimli Kauçuk Flap"
858488,"Volvo Penta","Tutya & Anotlar","Volvo Penta 280 / 290 / DP-A / DP-E Kuyruk Koni Tutya Anodu (Çinko)","Volvo Penta 280DP, 290DP, DP-A, DP-B, DP-C, DP-D, DP-E","Tecnoseal 00705, Martyr CM858488Z, Sierra 18-6014","Her Sezon Başı Değişim","Duoprop Pervane Mil Koni Çinko Tutyası"
861906,"Volvo Penta","Tutya & Anotlar","Volvo Penta D1 / D2 Isı Eşanjörü Çinko Tutya Anot Kalemi (3/8"" NPT)","Volvo Penta D1-13, D1-20, D1-30, D2-40, D2-55, D2-75, MD2010..2040","Tecnoseal 00701, Martyr CM861906Z","100 Saat / 6 Ayda Bir Kontrol","3/8"" NPT Pirinç Tapalı Değiştirilebilir Çinko Çubuk"
873395,"Volvo Penta","Tutya & Anotlar","Volvo Penta DP-S / SX-A Kuyruk Tutya Anot Bloğu","Volvo Penta DP-S, SX-A, SX-M Kuyruk Sistemleri","Tecnoseal 00715, Martyr CM873395Z","Her Sezon Başı Değişim","Ayna Alt Kısım Blok Çinko Anot"
875805,"Volvo Penta","Tutya & Anotlar","Volvo Penta 280 / 290 Ayna Bar Tutya Anodu (Çinko Çubuk)","Volvo Penta 280, 290, SP-A, DP-A, DP-B, DP-C, DP-D","Tecnoseal 00706, Martyr CM875805Z","Her Sezon Başı Değişim","Transom Ayna Askı Barı Çinko Tutyası, Paslanmaz Cıvatalı"
876069,"Volvo Penta","Filtreler","Volvo Penta KAD32 / 42 / 43 / 44 / 300 / TAMD Kompresörlü Turbo Hava Filtresi","Volvo Penta KAD32P, KAD42P, KAD43P, KAD44P, KAD300, KAMD43, KAMD44","Mann C 18 114, Donaldson P777409, Baldwin PA2844, Sierra 18-0909","200-400 Saat / Sezonluk Kontrol","Oval Kutu Tipi Marin Hava Filtresi Elemanı"
876185,"Volvo Penta","Filtreler","Volvo Penta TAMD41 / 63 / 74 Çiftli Yakıt Filtresi Elemanı (Spin-on)","Volvo Penta TAMD31, TAMD41, KAD42, KAD43, TAMD63, TAMD74","Mann WK 842/2, Baldwin BF784, Donaldson P550588, Fleetguard FF5052","200 Saat / Sezonluk","Vidalı Yakıt Filtresi, Su Ayırma Özellikli, M16x1.5 Diş"
876294,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta 280 / 290 / DP Kuyruk Kardan U-Joint Şaft Körüğü","Volvo Penta 270, 275, 280, 285, 290, SP, DP Kuyruklar","Sierra 18-2744, Orbitrade 15294, GLM 89080","2 Yılda 1 Değişim Zorunlu","Su Girişini Önleyen Esnek Kardan Körüğü, Çift Paslanmaz Kelepçeli"
877400,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta SX / DPS-A / DPS-B Kuyruk Körük & Egzoz Seti","Volvo Penta SX-M, SX-A, DPS-A, DPS-B Kuyruk Sistemleri","Sierra 18-2765, GLM 89220, Mallory 9-72900","2 Yılda 1 Kez Değişim","Kardan Körüğü, Egzoz Körüğü, Su Emme Hortumu ve Paslanmaz Kelepçeler"
877539,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta DPH / DPR Kuyruk Kardan & Egzoz Körük Kiti (Kelepçeli)","Volvo Penta DPH-A, DPH-B, DPH-C, DPH-D, DPR Kuyruk Sistemleri (D4/D6 Motorlar)","Sierra 18-2775, Orbitrade 15539, CEF 500539","2 Yılda 1 Kez / Her Karaya Çıkışta Değişim Önerilir","Kardan Şaft Körüğü (U-Joint), Egzoz Körüğü, Paslanmaz Çelik Marin Kelepçeler"
1873016,"Scania Marine","Yağlama & Filtre","Scania DI09 / DI13 / DI16 Marin V8 Motor Yağ Filtresi","Scania DI09, DI13, DI16 V8 (500 - 1150 HP) Marin Ana Makineler","Mann HU 1297 x, Donaldson P550453, Baldwin P7442, Fleetguard LF16175, Hengst E175H D129","250-400 Saat","Eko Kartuş Yağ Elemanı, Dış Çap: 114mm, Yükseklik: 236mm"
1873018,"Scania Marine","Yakıt Filtrasyonu","Scania DI13 / DI16 Common Rail İkincil Yakıt Filtresi","Scania DI13, DI16 Marin Motorlar","Mann PU 938/1 x, Donaldson P550881, Baldwin PF7949, Fleetguard FF5794","250-400 Saat","2 Mikron XPI Common Rail Hassas Yakıt Elemanı"
2164463,"Volvo Penta","Filtreler","Volvo Penta D4 / D6 / D9 / D11 By-Pass İnce Yağ Filtresi","Volvo Penta D4, D6, D8, D9, D11, TAMD63, TAMD74, TAMD75","Mann W 719/30, Baldwin B7299, Donaldson P550758, Fleetguard LF3973","200 Saat / Ana Yağ Filtresi ile Birlikte","Mikro By-Pass Filtrasyon Elemanı, Kurum & Karbon Tutucu, M18x1.5 Diş"
2654403,"Perkins Marine","Yağlama & Filtre","Perkins Sabre M92 / M135 / M225Ti Motor Yağ Filtresi","Perkins Sabre M65, M92, M115T, M130C, M135, M225Ti, 4.236","Mann W 940/25, Donaldson P554403, Baldwin B7030, Fleetguard LF16015","200-250 Saat","3/4-16 Diş Spin-on Yüksek Debi Yağ Filtresi"
3584145,"Volvo Penta","Mekanik & Contalar","Volvo Penta D4 / D6 Döküm Egzoz Karışım Dirseği (Exhaust Elbow)","Volvo Penta D4-225/260/300, D6-310/370/435 (Kuyruk ve Şaftlı Modeller)","HDI Marine VPF4, Orbitrade 15145, Sierra 18-0422","3-4 Yılda 1 Kontrol / Karbon Tıkanması veya Çatlak Halinde","Korozyona Dayanıklı Ni-Resist Döküm, Dahili Su Enjeksiyon Ceketi, Conta Dahil"
3586498,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D1 / D2 / MD2010..2040 Ham Deniz Suyu İmpeller Kiti","Volvo Penta D1-13, D1-20, D1-30, D2-40, D2-55, D2-75, MD2010..2040","Johnson 09-801B, Jabsco 673-0001, Sierra 18-3075, CEF 500100","150-200 Saat / Sezon Başı","6 Bıçaklı Neopren, Şaft Çapı: 12mm (D-Shaft), Dış Çap: 51mm, Genişlik: 22mm"
3588475,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D9 / D11 / D12 / D13 Ham Su İmpeller Kiti (Büyük Boy)","Volvo Penta D9, D11, D12, D13, TAMD122","Jabsco 17937-0001, Johnson 09-819B, CEF 500168, Sierra 18-3275","200-300 Saat veya Sezon Başı","10 Bıçaklı Neopren, Şaft Çapı: 25mm (Spline), Dış Çap: 95mm, Genişlik: 63mm"
3588914,"Volvo Penta","Filtreler","Volvo Penta D1 / D2 Dizel Vidalı Yakıt Filtresi Kartuşu","Volvo Penta D1-13..D1-30, D2-40..D2-75, MD2010..2040","Mann WK 712/2, Baldwin BF9856, Donaldson P550588","200 Saat / Yılda 1 Kez","Vidalı Spin-on Dizel Yakıt Filtresi, 10 Mikron"
3589886,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta HS45A / HS63A / HS85 Hidrolik Şanzıman Yağ Filtresi","Volvo Penta HS45, HS63, HS85 Şanzıman Sistemleri (D4 / D6 Motorlar)","ZF 3312199031, Mann W 712, Baldwin BT8409","200 Saat / Sezon Başı (ATF Dexron III ile)","Hidrolik Kavrama ve Basınç Devresi İnce Filtresi"
3593654,"Volvo Penta","İmpeller & Soğutma","Volvo Penta KAD32 / 42 / 43 / 44 / 300 Ham Su İmpeller Kiti (Spline)","Volvo Penta KAD32, KAD42, KAD43, KAD44, KAD300, TAMD31, TAMD41","Johnson 09-1028B, Jabsco 17937-0001, Sierra 18-3074, CEF 500106","200 Saat veya Her Sezon Başı","8 Bıçaklı Neopren, Şaft Çapı: 15.8mm (Spline), Dış Çap: 65mm, Genişlik: 51mm"
3593881,"Volvo Penta","Tutya & Anotlar","Volvo Penta DPH / DPR Kuyruk Trim Silindiri Kovan Tutya Anot Seti (Çinko)","Volvo Penta DPH-A..D, DPR Kuyruk Sistemleri (D4/D6 Motorlar)","Tecnoseal 00727, Martyr CM3593881Z, Performance Metals","Her Sezon Başı / %50 Erime Gerçekleştiğinde","Tuzlu Su İçin Yüksek Saflıkta Mil-Spec Çinko Alaşımı (2 Adet Silindir Tutyası)"
3803896,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D4 / D6 Deniz Suyu Pompa Şaft, Rulman ve Keçe Revizyon Kiti","Volvo Penta D4 & D6 Johnson F7B Pompa Serisi","Orbitrade 15896, Sierra 18-3589","Su Kaçağı / Rulman Boşluğu Halinde","Mekanik Karbür Salmastra, Paslanmaz Rulmanlar, Keçe ve Segmanlar"
3803897,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D4 / D6 Komple Ham Deniz Suyu Pompası (Johnson F7B)","Volvo Penta D4-225..300, D6-310..435, IPS400/500/600","Johnson F7B-9 (10-24465-01), Jabsco Marin Pompa","Aşınma Halinde / 1000 Saat Bakımı","Bronz Gövdeli Flanşlı Tahrikli Deniz Suyu Pompası, Kam ve Aşınma Plakası Dahil"
3803940,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Marin Marş Motoru 12V 3.0kW (Denso Tip)","Volvo Penta D4-180..300, D6-280..435 Tüm Yıllar","Denso 428000-1170, Volvo 3803940, Arco 70200","Marş Basmama / Otomatik Boşa Dönme Halinde","12V 3.0kW Yüksek Torklu Planet Redüksiyonlu Su Geçirmez Marş Motoru"
3803942,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Marin Marş Motoru 24V 4.0kW","Volvo Penta D4 ve D6 24V Sistemler","Denso 428000-1180, Volvo 3803942","Arıza Halinde","24V 4.0kW Ağır Hizmet Redüksiyonlu Marin Marş Motoru"
3807900,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D4 / D6 Deniz Suyu Pompası Aşınma Plakası (Wear Plate)","Volvo Penta D4 & D6 Johnson F7B Deniz Pompaları","Johnson 01-46744, Orbitrade 15900","İmpeller Aşınmasında / 400 Saatte 1","Hassas Taşlanmış Marin Bronz Aşınma Pulu"
3807901,"Volvo Penta","İmpeller & Soğutma","Volvo Penta D4 / D6 Deniz Suyu Pompası Kamı (Cam Plate)","Volvo Penta D4 & D6 F7B Pompa Serisi","Johnson 01-46745, Orbitrade 15901","Pompa Basınç Düşüklüğünde","Bronz Kam Parçası, Sabitleme Vidası Dahil"
3809436,"Volvo Penta","Tutya & Anotlar","Volvo Penta DPH Pervane Koni Tutya Anodu (Çinko / Alüminyum)","Volvo Penta DPH Kuyruk Pervane Grubu (G Serisi Duoprop)","Tecnoseal 00728, Martyr CM3809436Z","Her Sezon Başı Kontrol / Değişim","Pervane Şaftı Koni Uç Tutyası, Paslanmaz Montaj Cıvatası Dahil"
3817287,"Volvo Penta","Kayış & Kasnak","Volvo Penta D4 / D6 Ara Avare Kayış Gergi Kasnağı (Idler Pulley)","Volvo Penta D4-225..300, D6-310..435","Gates T38018, INA 532058010, Volvo 3817287","Kayış Değişiminde / Rulman Ses Yaptığında","Çift Sıra Bilyalı Toz ve Nem Korumalı Çelik Avare Kasnak"
3817288,"Volvo Penta","Kayış & Kasnak","Volvo Penta D4 / D6 Otomatik Serpentine Kayış Gergisi (Belt Tensioner)","Volvo Penta D4 ve D6 Serisi Tüm Güç Grupları","Litens 999120, Gates DriveAlign, Volvo 3817288","Kayış Ötmesi veya Titreşiminde / 600 Saatte 1","Dahili Hidrolik Sönümleyicili Ağır Hizmet Yaylı Kayış Gergi Mekanizması"
3817517,"Volvo Penta","Kayış & Kasnak","Volvo Penta D4 / D6 Alternatör & Devridaim Poly-V Serpentine Kayışı","Volvo Penta D4-225..300, D6-310..435 (Krank - Alternatör - Sirkülasyon Pompası)","Gates 7PK1750, Continental 7PK1750, Dayco 7PK1750","400 Saat / 2 Yılda 1 Kez","7 Kanallı Yüksek Mukavemetli EPDM Marin Tahrik Kayışı (Boy: 1750mm)"
3825133,"Volvo Penta","Filtreler","Volvo Penta D4 / D6 Karter Havalandırma Filtresi (CCV Breather)","Volvo Penta D4 ve D6 Tüm Yıllar (2003-2026)","Mann LC 7001 x, Racor CCV Serisi","400 Saat / Yılda 1 Kez","Krank Gazı Yağ Buharı Separatörü, Çevre Korumalı Kapalı Havalandırma"
3827110,"Volvo Penta","Filtreler","Volvo Penta D9 / D11 Karter Havalandırma Gazı Filtresi (CCV Breather)","Volvo Penta D9, D11 Marin Dizel Motorlar","Mann LC 9001 x, Racor CCV 4500","400 Saat / Yılda 1 Kez","Kapalı Karter Havalandırma Yağ Buharı Separatörü"
3840897,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Turbo Emiş Manifold Basınç Sensörü (MAP / Boost)","Volvo Penta D4-260..300, D6-310..435 Kompresörlü & Turbolu Motorlar","Bosch 0281002593, Volvo 3840897","Turbo Çekiş Düşüklüğünde / Siyah Dumanda","0-4 Bar Mutlak Basınç ve Emiş Hava Sıcaklık Kombine Sensörü"
3841110,"Volvo Penta","Mekanik & Contalar","Volvo Penta D4 / D6 Blok & Soğutma Devresi Su Tahliye Tapası","Volvo Penta D4, D6, D8, D11, D13 Kışlama ve Drenaj Sistemleri","Volvo Penta 3841110, Sierra 18-4228","Kışlama ve Sezon Bakımında","Pirinç Gövdeli O-ringli Hızlı Tahliye Tapası (Kışlama Koruma)"
3842189,"Volvo Penta","Filtreler","Volvo Penta D12 / D13 CCV Karter Yağ Buharı Separatör Kartuşu","Volvo Penta D12, D13 Marin Dizel Motorlar","Racor CCV 6000, Mann LC 10 001","400-500 Saat / Yılda 1 Kez","Ağır Hizmet Karter Havalandırma Filtre Elemanı"
3843750,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Krank Mili Devir Sensörü (Crankshaft Position)","Volvo Penta D4-225..300, D6-310..435","Bosch 0281002410, Volvo 3843750","Geç Çalışma / Stop Etme / Arıza Kodunda","Manyetik Endüktif Krank Pozisyon Sensörü, O-ring Dahil"
3843751,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Eksantrik Mili Faz Sensörü (Camshaft Sensor)","Volvo Penta D4 ve D6 EVC Serileri","Bosch 0281002411, Volvo 3843751","Senkronizasyon Hatasında","Hall-Effect Hassas Eksantrik Konum Algılayıcı"
3850398,"Volvo Penta","Elektrik & Sensörler","Volvo Penta V6 / V8 12V 1.4kW Marin Marş Motoru","Volvo Penta 4.3L, 5.0L, 5.7L, 8.1L Benzinli Marin Motorlar","Sierra 18-5913, Arco 30460, Delco PG260M","Arıza Halinde / Yıllık Fırça ve Korozyon Kontrolü","SAE J1171 Marin Kıvılcım Korumalı, Suya ve Korozyona Dayanıklı Marş Motoru"
3850589,"Volvo Penta","Elektrik & Sensörler","Volvo Penta V6 / V8 Benzinli Motor Buji Seti (4'lü / 8'li)","Volvo Penta 4.3GL/GXi, 5.0GL/GXi, 5.7Gi/GXi, 8.1Gi","NGK BPR6EFS, Champion RS12YC, AC Delco MR43LTS","100-200 Saat / 2 Sezonda 1 Kez","Marin Korozyon Kaplamalı Buji, Ön Ayarlı Tırnak Aralığı"
3852293,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta SX / DPS Vites Teli Körüğü (Shift Cable Bellow)","Volvo Penta SX, DPS-A, DPS-B Kuyruk Sistemleri","Sierra 18-2763, Orbitrade 15293","2 Yılda 1 Değişim","Vites Kablo Geçiş Su Yalıtım Körüğü"
3852560,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta SX / DPS Pervane Tahrik Şaftı Keçesi","Volvo Penta SX, DPS-A Kuyruk Sistemleri","Sierra 18-0579, Orbitrade 15560","Her Yağ Değişiminde Kontrol / Su Kaçağında","Paslanmaz Yaylı Çift Dudaklı Nitril Kuyruk Keçesi"
3853807,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta SX / DPS Ayna Kovan Gimbal Rulmanı (Gimbal Bearing)","Volvo Penta SX-M, SX-A, DPS-A, DPS-B, Mercruiser Alpha/Bravo","Sierra 18-21005, GLM 21905, Mallory 9-72410","Rulman Ses / Titreşim Halinde veya 3 Yılda 1","Kapalı Ağır Hizmet Bilyalı Gimbal Rulmanı, Yağlama Kanallı"
3854583,"Volvo Penta","Ateşleme & Elektrik","Delco EST Elektronik Ateşleme Modülü","Volvo Penta 4.3L..8.1L Benzinli Motorlar","Sierra 18-5107-1, Mallory 9-29800","Arıza Halinde","4-Pin EST Ateşleme Kontrol Modülü"
3855516,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta SX / DPS Transom Gimbal Halka Kiti","Volvo Penta SX-M, SX-A, DPS-A, DPS-B","Sierra 18-2165, Volvo Penta Orijinal","Boşluk / Titreşim Halinde","Ayna Yönlendirme ve Gimbal Taşıyıcı Alüminyum Halka"
3857532,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Motor Yağ Basınç Müşürü (0-7 Bar Transducer)","Volvo Penta D4 ve D6 EVC-B, EVC-C, EVC-D, EVC-E","Volvo Penta 3857532, VDO Marin","Düşük Yağ Basıncı Hata Kodunda","0-7 Bar Analog / Dijital Dönüştürücülü Hassas Yağ Basınç Sensörü"
3857576,"Volvo Penta","Tutya & Anotlar","Volvo Penta SX-M / SX-A Kuyruk Ayna Çinko Tutyası","Volvo Penta SX Tek Pervaneli Kuyruk Sistemleri","Tecnoseal 00714, Martyr CM3857576Z","Her Sezon Başı Değişim","SX Kuyruk Korozyon Önleyici Çinko Blok"
3857578,"Volvo Penta","Tutya & Anotlar","Volvo Penta DPS-A / DPS-B Kuyruk Transom Ayna Tutya Anodu (Çinko)","Volvo Penta DPS-A, DPS-B Duoprop Kuyruklar","Tecnoseal 00718, Martyr CM3857578Z","Her Sezon Başı Kontrol / Değişim","Transom Ayna Alt Kısım Koruma Çinko Anodu"
3857840,"Volvo Penta","Filtreler","Volvo Penta V6 / V8 Benzinli Marin Su Ayırıcı Yakıt Filtresi (10 Mikron)","Volvo Penta 4.3GL/GXi, 5.0GL/GXi, 5.7Gi/GXi, 8.1Gi Benzinli Motorlar","Sierra 18-7866, Mann WK 812, Baldwin BF7798-D","100 Saat / Her Sezon Başı","10 Mikron Vidalı Benzin Yakıt Filtresi & Su Ayırıcı Eleman (13/16-16 Diş)"
3860703,"Volvo Penta","Filtreler","Volvo Penta Dizel & Benzinli Su Ayırıcı Ön Yakıt Filtresi","Volvo Penta Dizel ve Benzinli İçten Takma Motorlar","Sierra 18-7945, Racor R24P Muadili","200 Saat / Yılda 1 Kez","Genişletilmiş Su Tutma Hazneli Spin-on Filtre Elemanı"
3860769,"Volvo Penta","Ateşleme & Elektrik","12V 65A Delco Marin Şarj Dinamosu (Alternatör)","Volvo Penta 3.0L..8.1L Benzinli Motorlar","Sierra 18-5966, Arco 60065","Arıza Halinde","Kıvılcım Korumalı İç Regülatörlü"
3860842,"Volvo Penta","Tutya & Anotlar","Volvo Penta D4 / D6 Yakıt Soğutucu Eşanjör Çinko Anodu","Volvo Penta D4 ve D6 Serisi Dizel Motorlar","Tecnoseal 00729, Martyr CM3860842Z","100-150 Saat / Sezon Başı Kontrol","1/4"" NPT Pirinç Tapalı Çinko Çubuk Anot"
3862228,"Volvo Penta","İmpeller & Soğutma","Volvo Penta 4.3L / 5.0L / 5.7L / 8.1L Krank Mili Ham Su Pompası İmpelleri","Volvo Penta V6 ve V8 Benzinli Motorlar (Krank Mili Tahrikli Pompa)","Johnson 09-5000, Jabsco 21213660, Sierra 18-3150","100 Saat veya Sezon Başı","10 Kanatlı Neopren, Düz Mil Yuvası, Dış Çap: 57mm"
3883728,"Volvo Penta","Mekanik & Contalar","Volvo Penta IPS Egzoz Geri Dönüş Çekvalf Flapı (Exhaust Flapper)","Volvo Penta IPS 400, IPS 500, IPS 600 EVC Sistemleri","Sierra 18-2733, Volvo Penta 3883728","2 Yılda 1 Kontrol / Sezon Sonu Kışlama Bakımı","Ters Dalga ve Sintine Suyunun Turboya Basmasını Önleyen Marin Kauçuk Çekvalf"
3884145,"Volvo Penta","Mekanik & Contalar","Volvo Penta D4 / D6 Paslanmaz Çelik 316L Egzoz Dirsek Kiti","Volvo Penta D4, D6 Serisi Tüm Güç Grupları","HDI Marine VPF4-SS, DM Marine Özel Seri","Ömürlük / 5 Yılda 1 Sezon Başı Kontrol","316L Paslanmaz Çelikten Hassas Kaynaklı, Paslanmaz ve Kireç Tutmaz"
3887019,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta DPH / DPR Şaft Keçe Kiti (Inner & Outer Duo-Prop Seal)","Volvo Penta DPH-A..D, DPR Kuyruk Sistemleri","Volvo Penta 3887019, Orbitrade 15019","Kuyruk Yağına Su Sızdığında / 2 Sezonda 1","Çift Pervane Milleri İçin Paslanmaz Yaylı Özel İkili Keçe Takımı"
3887020,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta DPS-A / DPS-B Şaft Keçe Kiti (Inner & Outer Seal)","Volvo Penta DPS-A, DPS-B Duoprop Kuyruklar","Volvo Penta 3887020, Orbitrade 15020","Kuyruk Yağına Su Karıştığında / 2 Sezonda 1","İç ve Dış Pervane Şaftı Yüksek Basınç Çiftli Yağ Keçesi Seti"
3887024,"Volvo Penta","Kuyruk & Şanzıman","Volvo Penta DPH Kuyruk Yağ Seviye Tapası & Mıknatıslı Vida","Volvo Penta DPH, DPR, DPS Kuyruklar","Volvo Penta 3887024, Sierra 18-2374","Her Yağ Değişiminde Çapak Kontrolü","Neodimyum Mıknatıslı Metal Çapak Yakalayıcı Tapa, O-ring Dahil"
3888305,"Volvo Penta","Filtreler","Volvo Penta D1 / D2 / MD2010..2040 Kompakt Motor Yağ Filtresi","Volvo Penta D1-13, D1-20, D1-30, D2-40, D2-55, D2-75, MD2010, MD2020, MD2030, MD2040","Mann W 67/1, Baldwin B1400, Donaldson P502015, Wix 51394","150-200 Saat / Sezon Başı","M20x1.5 Diş, Kompakt Spin-on Yağ Filtresi"
3888306,"Volvo Penta","Tutya & Anotlar","Volvo Penta 130S / 150S Saildrive Çinko Halka Anot Seti","Volvo Penta 130S, 130S-B, 150S, 150S-B Yelkenli Kuyruk Sistemleri","Tecnoseal 00716, Martyr CM3888306Z","Yılda 1 Kez / Sezon Başı","Split Ring Çift Parçalı Çinko Tutya, Gövde İzolasyon Korumalı"
3888324,"Volvo Penta","Elektrik & Sensörler","Volvo Penta D4 / D6 Hararet Müşürü & Soğutma Sıcaklık Sensörü","Volvo Penta D4-180..300, D6-280..435, D3 (EVC Sistemleri)","Volvo Penta 3888324, Bosch Sensör","Hatalı Sıcaklık Değerinde / EVC Hararet Alarmında","M12x1.5 Dişli Hassas NTC Dirençli EVC Motor Sıcaklık Sensörü"
